"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
83,3264.64571739819,3348.39124569666,14,92,NA,NA,NA
84,3269.54674029585,3353.43152918731,14,93,NA,NA,NA
85,3274.37554888391,3358.419192995,13,98,NA,NA,NA
86,3279.13107474342,3363.32556677188,13,98,NA,NA,NA
87,3283.81207067375,3368.14913606557,13,98,NA,NA,NA
88,3288.41710941924,3372.88843598186,13,98,NA,NA,NA
89,3292.94458274696,3377.5418089835,13,98,NA,NA,NA
90,3297.39270088349,3382.10740426968,13,98,NA,NA,NA
91,3301.75949231755,3386.58317754253,13,98,NA,NA,NA
92,3306.0428039743,3390.96689116646,13,98,NA,NA,NA
93,3310.24030176674,3395.25611472568,13,98,NA,NA,NA
94,3314.34947152813,3399.44822598458,13,98,NA,NA,NA
95,3318.36762032896,3403.54041225496,13,98,NA,NA,NA
96,3322.29187818062,3407.52991726484,14,93,NA,NA,NA
97,3326.11920012713,3411.44166195319,14,92,NA,NA,NA
98,3329.84636872504,3415.25358385399,14,92,NA,NA,NA
99,3333.4699969106,3418.95757700414,14,92,NA,NA,NA
100,3336.9865312519,3422.54989600842,14,92,NA,NA,NA
101,3340.39225558246,3426.03032660886,14,91,NA,NA,NA
102,3343.68329501136,3429.39907343425,14,91,NA,NA,NA
103,3346.85562030368,3432.6448831385,14,91,NA,NA,NA
104,3349.90505262329,3435.78386441398,13,88,NA,NA,NA
105,3352.82726862884,3438.81716221771,13,88,NA,NA,NA
106,3355.61780591208,3441.71701785641,13,88,NA,NA,NA
107,3358.2720687662,3444.47853349128,13,88,NA,NA,NA
108,3360.78533427041,3447.09741233313,13,87,NA,NA,NA
109,3363.15275867557,3449.58428841383,13,87,NA,NA,NA
110,3365.36938407436,3451.92189951422,13,86,NA,NA,NA
111,3367.43014533808,3454.11658801415,13,86,NA,NA,NA
112,3369.3298773013,3456.15882917171,13,85,NA,NA,NA
113,3371.06332217439,3458.04275728832,13,85,NA,NA,NA
114,3372.62513716322,3459.77443561984,13,84,NA,NA,NA
115,3374.00990227472,3461.32810754737,13,84,NA,NA,NA
116,3375.21212828639,3462.69729937664,13,84,NA,NA,NA
117,3376.22626485789,3463.90345833554,13,82,NA,NA,NA
118,3377.04670876233,3464.95784646089,13,81,NA,NA,NA
119,3377.66781221567,3465.83176109828,13,80,NA,NA,NA
120,3378.08389128236,3466.52135491671,13,79,NA,NA,NA
121,3378.2892343365,3467.02260999728,13,78,NA,NA,NA
122,3378.27811055815,3467.33134090836,13,77,NA,NA,NA
123,3378.04477844578,3467.44341145073,14,76,NA,NA,NA
124,3377.58349432666,3467.39198668981,14,75,NA,NA,NA
125,3376.88852084843,3467.14026555464,14,74,NA,NA,NA
126,3375.95413543678,3466.68348207859,14,73,NA,NA,NA
127,3374.77463870523,3466.01670236275,14,72,NA,NA,NA
128,3373.34436280516,3465.14212897461,14,70,NA,NA,NA
129,3371.65767970575,3464.06111273565,14,70,NA,NA,NA
130,3369.70900939525,3462.7328716067,14,69,NA,NA,NA
131,3367.49282799705,3461.17332460215,14,68,NA,NA,NA
132,3365.00367579552,3459.37680039567,14,67,NA,NA,NA
133,3362.23616516882,3457.33750450613,14,66,NA,NA,NA
134,3359.18498842714,3455.03449919396,14,66,NA,NA,NA
