"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
283,1682.62521909,1898.07805122004,10,24,NA,NA,NA
284,1688.37307803339,1904.27118231544,10,24,NA,NA,NA
285,1694.64970491605,1911.03525758722,10,24,NA,NA,NA
286,1701.44853409651,1918.36200589984,10,24,NA,NA,NA
287,1708.76267960555,1926.24274976985,10,24,NA,NA,NA
288,1716.58493946366,1934.67041957848,10,25,NA,NA,NA
289,1724.90780032643,1943.6399296643,10,25,NA,NA,NA
290,1733.72344249376,1953.13555006546,10,25,NA,NA,NA
291,1743.02374531637,1963.14707325883,10,25,NA,NA,NA
292,1752.80029303059,1973.66393229358,10,25,NA,NA,NA
293,1763.04438104897,1984.67521182952,10,25,NA,NA,NA
294,1773.74702273108,1996.169659785,10,25,NA,NA,NA
295,1784.89895665467,2008.13569960216,10,25,NA,NA,NA
296,1796.49065440339,2020.57192177497,10,26,NA,NA,NA
297,1808.51232888319,2033.45746769462,10,26,NA,NA,NA
298,1820.9539431745,2046.77860916273,10,26,NA,NA,NA
299,1833.80521992331,2060.52261350434,10,26,NA,NA,NA
300,1847.05565126923,2074.6764937528,10,26,NA,NA,NA
301,1860.69450930427,2089.22693564684,10,26,NA,NA,NA
302,1874.71085705146,2104.17070178282,10,27,NA,NA,NA
303,1889.09355994809,2119.48621402807,10,27,NA,NA,NA
304,1903.83129781404,2135.15750361541,10,27,NA,NA,NA
305,1918.91257728185,2151.17027858368,10,27,NA,NA,NA
306,1934.32574466113,2167.51033305385,10,27,NA,NA,NA
307,1950.05899920677,2184.16332706856,10,27,NA,NA,NA
308,1966.10040675695,2201.12969574471,10,28,NA,NA,NA
309,1982.43791370428,2218.38106671837,10,28,NA,NA,NA
310,1999.05936126095,2235.90229093346,10,28,NA,NA,NA
311,2015.95249997653,2253.67868499001,10,28,NA,NA,NA
312,2033.1050044655,2271.69552632078,10,28,NA,NA,NA
313,2050.5044883,2289.95134665211,10,29,NA,NA,NA
314,2068.13851902272,2308.42322461445,10,29,NA,NA,NA
315,2085.99463323373,2327.09190666498,10,29,NA,NA,NA
316,2104.06035170532,2345.94692896702,10,29,NA,NA,NA
317,2122.32319447875,2364.97003298429,10,30,NA,NA,NA
318,2140.77069589723,2384.16243362333,10,30,NA,NA,NA
319,2159.39041953064,2403.49396306752,10,30,NA,NA,NA
320,2178.16997294798,2422.95033840369,10,30,NA,NA,NA
321,2197.09702229534,2442.51737236192,10,31,NA,NA,NA
322,2216.15930663874,2462.20458412351,10,31,NA,NA,NA
323,2235.34465203274,2481.97487912854,10,31,NA,NA,NA
324,2254.64098527813,2501.81450501316,10,31,NA,NA,NA
325,2274.03634733386,2521.71601680357,10,32,NA,NA,NA
326,2293.51890635101,2541.67831037268,10,32,NA,NA,NA
327,2313.07697029896,2561.67045484058,10,32,NA,NA,NA
328,2332.69899915623,2581.67954126285,10,32,NA,NA,NA
329,2352.37361664168,2601.70848449301,10,33,NA,NA,NA
330,2372.08962146375,2621.7402940751,10,33,NA,NA,NA
331,2391.83599806855,2641.75239889124,10,33,NA,NA,NA
332,2411.60192687016,2661.73463431024,10,34,NA,NA,NA
333,2431.37679394917,2681.70058623813,10,34,NA,NA,NA
334,2451.15020020799,2701.61266826727,10,34,NA,NA,NA
335,2470.91196997423,2721.45989943729,10,34,NA,NA,NA
336,2490.65215904577,2741.25457961642,10,35,NA,NA,NA
337,2510.36106217342,2760.97101048509,10,35,NA,NA,NA
338,2530.0292199798,2780.59288533815,10,35,NA,NA,NA
339,2549.64742531446,2800.14084691574,10,36,NA,NA,NA
340,2569.20672904827,2819.57503610355,10,36,NA,NA,NA
341,2588.69844531107,2838.88849505986,10,37,NA,NA,NA
342,2608.11415617903,2858.10232906482,10,37,NA,NA,NA
343,2627.44571581949,2877.17576835655,10,37,NA,NA,NA
344,2646.68525410253,2896.1121459927,10,38,NA,NA,NA
345,2665.82517969007,2914.91344828355,10,38,NA,NA,NA
346,2684.85818261426,2933.55633498401,10,38,NA,NA,NA
347,2703.77723635806,2952.05296964781,10,39,NA,NA,NA
348,2722.57559945197,2970.38898785648,10,39,NA,NA,NA
349,2741.24681660142,2988.54927131165,10,40,NA,NA,NA
350,2759.78471936003,3006.55373620391,10,40,NA,NA,NA
351,2778.18342636472,3024.36594385955,10,40,NA,NA,NA
352,2796.43734314859,3042.00638676939,10,41,NA,NA,NA
353,2814.5411615481,3059.45700030473,10,41,NA,NA,NA
354,2832.48985872127,3076.72113251407,10,42,NA,NA,NA
355,2850.27869579334,3093.79460331823,10,42,NA,NA,NA
356,2867.9032161467,3110.65650552151,10,43,NA,NA,NA
357,2885.35924337154,3127.33830746327,10,43,NA,NA,NA
358,2902.64287889344,3143.80160623941,10,44,NA,NA,NA
359,2919.75049929412,3160.08170897287,10,44,NA,NA,NA
360,2936.67875334087,3176.13606769944,10,44,NA,NA,NA
